predict_time,POD,FAR,CSI,leading_time (min)
2025-01-08 04:28:47,0.42074389840505794,0.7269772813837257,0.198434684304215,24.016666666666666
2025-01-08 04:34:48,0.3889191905550208,0.7472827051108835,0.18089008472041654,24.016666666666666
2025-01-08 04:40:48,0.2470270044894921,0.8204143114751671,0.11605623018783012,24.016666666666666
2025-01-08 04:46:48,0.38060963711485524,0.6775877705501324,0.21146194960026307,24.016666666666666
2025-01-08 04:52:48,0.2905432193094464,0.5958902729989001,0.2034006903947167,24.016666666666666
2025-01-08 04:58:49,0.28183133790528286,0.611337438432445,0.19526873882205573,24.016666666666666
2025-01-08 05:04:49,0.3227938703238307,0.6390453225761166,0.2054070032168022,24.016666666666666
2025-01-08 05:10:49,0.3496221723107297,0.5211178294267129,0.2532654241463582,24.016666666666666
2025-01-08 05:16:49,0.5286254081682058,0.47652047789162205,0.3568888153163131,24.016666666666666
2025-01-08 05:22:50,0.38350417309907553,0.36961572175493257,0.31310002353731253,24.016666666666666
2025-01-08 05:28:50,0.344269545767476,0.39593826494656936,0.28088620012927684,24.016666666666666
2025-01-08 05:34:50,0.4110548213559563,0.38363178785168606,0.32731377511270227,24.016666666666666
2025-01-08 05:40:50,0.36112782396083565,0.42407438476879916,0.2852710598895876,24.016666666666666
2025-01-08 05:46:51,0.6073626830727699,0.3481570828106891,0.45859471423416065,24.016666666666666
2025-01-08 05:52:51,0.3895853776562553,0.33486953547742193,0.32570150772257384,24.016666666666666
2025-01-08 05:58:51,0.42238550052931656,0.31706428502254275,0.35313575351181736,24.016666666666666
2025-01-08 06:04:51,0.45005162737120225,0.25864424747212517,0.38897680615248226,24.016666666666666
2025-01-08 06:10:52,0.39376235433076184,0.3205877604821004,0.33206448172608977,24.016666666666666
2025-01-08 06:16:52,0.5817000694067045,0.34236208720710976,0.4464898471942335,24.016666666666666
2025-01-08 06:22:52,0.5679753847243456,0.23370716794710167,0.4841152513824635,24.016666666666666
2025-01-08 06:28:52,0.6453752248993496,0.20843166648088804,0.5516325276718979,24.016666666666666
2025-01-08 06:34:53,0.6451270155848648,0.25826782020250133,0.5267932674197477,24.016666666666666
2025-01-08 06:40:53,0.6283795152590522,0.27823862171263597,0.5058439057733057,24.016666666666666
2025-01-08 06:46:53,0.7110915370030381,0.3082038151116622,0.5400147814637956,24.016666666666666
2025-01-08 06:52:53,0.6235719167511641,0.3996735587374192,0.44064031937022435,24.016666666666666
2025-01-08 06:58:54,0.640488608606337,0.4093399953478017,0.4435909025015271,24.016666666666666
2025-01-08 07:04:54,0.652719779264846,0.3726771505435546,0.470338891815841,24.016666666666666
2025-01-08 07:10:54,0.6407202458497113,0.3966437224581313,0.45082835462527543,24.016666666666666
2025-01-08 07:16:54,0.597240793614689,0.3801051147533351,0.43715020245776637,24.016666666666666
2025-01-08 07:22:55,0.6648926017351113,0.45754667733270166,0.42598892236743385,24.016666666666666
2025-01-08 07:28:55,0.7040299687344364,0.501903909890397,0.4118550279095896,24.016666666666666
2025-01-08 07:34:55,0.6738972500853752,0.4984457438584808,0.40359881233626027,24.016666666666666
2025-01-08 07:40:55,0.7730796699273066,0.47829428446081196,0.45242375779123867,24.016666666666666
2025-01-08 07:46:56,0.7205071899986497,0.3932618377345686,0.4911425836164197,24.016666666666666
2025-01-08 07:52:56,0.4887210581886193,0.7296544637505921,0.21074252135882143,24.016666666666666
2025-01-08 07:58:56,0.538162087364229,0.7310582923204825,0.2185097845579392,24.016666666666666
2025-01-08 08:04:56,0.43787004192200873,0.7620767792120838,0.18225495686874502,24.016666666666666
